File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,,
3036,8,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5173,5176,Whole,4x4 Butt Box,Good,4,,,,
3036,9,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5176,5179,Whole,4x4 Butt Box,Good,4,,,,
3036,10,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5179,5182,Whole,4x4 Butt Box,Good,4,,,,
3036,11,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5182,5185,Whole,4x4 Butt Box,Good,4,,,,
3036,12,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5185,5188,Whole,4x4 Butt Box,Good,4,,,,
3036,13,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5188,5191,Whole,4x4 Butt Box,Good,4,,,,
3036,14,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5191,5194,Whole,4x4 Butt Box,Good,4,,,,
3036,15,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5194,5197,Whole,4x4 Butt Box,Good,4,,,,
3036,16,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5197,5200,Whole,4x4 Butt Box,Good,4,,,,
3036,17,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5200,5203,Whole,4x4 Butt Box,Good,4,,,,
3036,18,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5203,5206,Whole,4x4 Butt Box,Good,4,,,,
3036,19,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5206,5209,Whole,4x4 Butt Box,Good,4,,,,
3036,20,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5209,5212,Whole,4x4 Butt Box,Good,4,,,,
3036,21,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5212,5215,Whole,4x4 Butt Box,Good,4,,,,
3036,22,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5215,5218,Whole,4x4 Butt Box,Good,4,,,,
3036,23,28,,35125221400000,Sullivan,Kay,1,2,9,N,2,E,SESE,35.27759,97.05691,Pottawatomie,OK,Red Fork,Centerpoint,5218,5221,Whole,4x4 Butt Box,Good,4,,,,
